dist,rpm,ang,success
2.88,2940.0,55.0,0.5
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,1.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,1.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.5
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.5
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.5
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2950.0,55.0,0.5
2.88,2950.0,55.0,0.5
2.88,2950.0,55.0,0.5
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.5
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.5
2.88,2953.0,55.0,0.0
2.88,2953.0,55.0,0.0
2.88,2953.0,55.0,1.0
2.88,2953.0,55.0,0.0
2.88,2953.0,55.0,0.0
2.88,2953.0,55.0,0.0
2.88,2914.0,55.0,0.0
2.88,2914.0,55.0,0.0
2.88,2914.0,55.0,0.0
2.88,2914.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2935.0,55.0,0.0
2.88,2935.0,55.0,0.0
2.88,2935.0,55.0,0.0
2.88,2935.0,55.0,0.0
2.88,2935.0,55.0,0.0
2.88,2940.0,55.0,1.0
2.88,2940.0,55.0,1.0
2.88,2940.0,55.0,0.5
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.5
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,1.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.5
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.5
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.5
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.5
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,1.0
